B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,city,surface,classWat,rand_point,color,shadow
0.0516,0.0813,0.0954,0.0925,0.0942,0.0573,0.0517,0.0418,0.0333,0.0195,0.0123,Buenos Aires,water,artificial pond,534,,
0.0584,0.0754,0.0898,0.0903,0.1224,0.1381,0.1195,0.0576,0.1377,0.1272,0.1119,Buenos Aires,water,artificial pond,3112,,
0.0516,0.0739,0.0954,0.0938,0.0978,0.0576,0.0586,0.0493,0.0356,0.0403,0.0168,Buenos Aires,water,artificial pond,4794,,
0.0598,0.0714,0.0922,0.0919,0.0994,0.0876,0.0803,0.0637,0.0724,0.0814,0.0446,Buenos Aires,water,artificial pond,5922,,
0.0548,0.0788,0.095,0.0927,0.0995,0.0545,0.0543,0.0416,0.0338,0.0187,0.0117,Buenos Aires,water,artificial pond,9830,,
0.0548,0.0738,0.0943,0.0932,0.0967,0.0564,0.052,0.0401,0.0321,0.0173,0.0125,Buenos Aires,water,artificial pond,10336,,
0.0605,0.0776,0.0948,0.0922,0.1,0.0558,0.0492,0.0457,0.037,0.0213,0.0131,Buenos Aires,water,artificial pond,11005,,
0.0509,0.0742,0.0936,0.0965,0.1106,0.0912,0.0908,0.0641,0.0829,0.0593,0.0342,Buenos Aires,water,artificial pond,11709,,
0.0592,0.0771,0.0951,0.0902,0.0982,0.0655,0.0565,0.056,0.0529,0.0247,0.0145,Buenos Aires,water,artificial pond,11911,,
0.0592,0.0771,0.094,0.0941,0.0903,0.0401,0.0511,0.0414,0.0174,0.0227,0.0085,Buenos Aires,water,artificial pond,14578,,
0.0568,0.076,0.0957,0.0982,0.1154,0.0931,0.1253,0.0728,0.0882,0.0743,0.0487,Buenos Aires,water,artificial pond,18340,,
0.0548,0.0775,0.0962,0.0943,0.0995,0.0545,0.0543,0.0403,0.0338,0.0187,0.0117,Buenos Aires,water,artificial pond,18653,,
0.0548,0.0762,0.0971,0.0917,0.0931,0.0593,0.0523,0.0405,0.0375,0.0365,0.0205,Buenos Aires,water,artificial pond,19249,,
0.0605,0.078,0.1009,0.0978,0.1093,0.0976,0.083,0.0921,0.0876,0.061,0.0432,Buenos Aires,water,artificial pond,20767,,
0.0489,0.0782,0.0951,0.0912,0.0995,0.0578,0.0548,0.0494,0.0362,0.0312,0.0127,Buenos Aires,water,artificial pond,21436,,
0.0548,0.0809,0.094,0.091,0.0964,0.0591,0.0515,0.041,0.0332,0.0179,0.0114,Buenos Aires,water,artificial pond,22586,,
0.0516,0.07,0.0901,0.0816,0.1098,0.1503,0.1543,0.0941,0.151,0.1259,0.0827,Buenos Aires,water,artificial pond,22984,,
0.0598,0.0719,0.0875,0.0923,0.0994,0.0876,0.0803,0.0666,0.0724,0.0814,0.0446,Buenos Aires,water,artificial pond,24156,,
0.0516,0.0763,0.0941,0.0905,0.1058,0.0811,0.0878,0.0486,0.0787,0.0772,0.0381,Buenos Aires,water,artificial pond,24176,,
0.0592,0.0772,0.0971,0.0917,0.0934,0.0506,0.0577,0.0439,0.0319,0.0323,0.0143,Buenos Aires,water,artificial pond,26339,,
0.0592,0.0804,0.0962,0.0938,0.0903,0.0401,0.0511,0.0461,0.0174,0.0227,0.0085,Buenos Aires,water,artificial pond,26995,,
0.0592,0.0705,0.0906,0.0895,0.1232,0.1335,0.1149,0.0493,0.1295,0.0946,0.0735,Buenos Aires,water,artificial pond,27041,,
0.0489,0.0785,0.0965,0.0927,0.0964,0.0596,0.0534,0.0488,0.0343,0.0326,0.0136,Buenos Aires,water,artificial pond,27465,,
0.0605,0.0816,0.0954,0.0946,0.0929,0.0489,0.0694,0.056,0.0454,0.0343,0.0224,Buenos Aires,water,artificial pond,27605,,
0.0548,0.075,0.0946,0.0935,0.0969,0.0509,0.0493,0.0426,0.0309,0.0239,0.011,Buenos Aires,water,artificial pond,29813,,
0.0495,0.0735,0.0938,0.0982,0.1065,0.0808,0.0794,0.0712,0.0646,0.0516,0.0266,Buenos Aires,water,artificial pond,31028,,
0.0605,0.0762,0.0965,0.0922,0.0961,0.0485,0.0531,0.0393,0.0294,0.0228,0.0169,Buenos Aires,water,artificial pond,32703,,
0.0548,0.0769,0.0967,0.0949,0.0928,0.0515,0.0425,0.0439,0.0291,0.0282,0.0153,Buenos Aires,water,artificial pond,34988,,
0.0548,0.0767,0.0946,0.0895,0.0997,0.0883,0.0825,0.0472,0.0727,0.0716,0.0455,Buenos Aires,water,artificial pond,35251,,
